,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country
357,beringovskiy,63.05,179.32,-6.45,97,98,4.46,RU
358,clyde river,70.47,-68.59,-15.0,84,40,7.7,CA
359,antofagasta,-23.65,-70.4,20.0,64,20,5.7,CL
360,camocim,-2.9,-40.84,28.06,82,87,1.56,BR
361,puerto montt,-41.47,-72.94,12.0,93,90,10.3,CL
362,jacqueville,5.21,-4.41,30.0,84,20,4.6,CI
363,porto torres,40.84,8.4,19.0,20,1,5.1,IT
364,kavieng,-2.57,150.8,28.01,71,100,1.16,PG
365,saint george,37.1,-113.58,14.36,27,1,1.5,US
366,america dourada,-11.46,-41.44,21.11,74,100,0.58,BR
367,makrana,27.05,74.72,30.7,18,39,3.17,IN
368,senador jose porfirio,-2.59,-51.95,26.1,76,98,1.77,BR
369,whitianga,-36.83,175.7,12.78,95,50,1.79,NZ
370,machacamarca,-18.17,-67.03,13.03,9,58,2.14,BO
371,weligama,5.97,80.42,26.25,86,73,1.98,LK
372,mahajanga,-15.72,46.32,26.0,69,20,2.6,MG
373,burnie,-41.07,145.92,14.44,91,100,4.02,AU
374,cruzeiro do oeste,-23.79,-53.07,20.13,39,7,4.0,BR
375,ponta do sol,32.67,-17.1,14.41,82,75,4.6,PT
376,longyearbyen,78.22,15.64,2.0,69,75,10.3,SJ
377,daokou,35.56,114.51,17.99,73,97,5.2,CN
378,san luis,-33.3,-66.34,23.89,21,0,4.64,AR
379,tromso,69.65,18.96,2.0,74,75,10.3,NO
380,otradnoye,59.78,30.82,1.39,74,41,3.0,RU
381,kruszwica,52.68,18.33,10.37,53,63,5.7,PL
382,lompoc,34.64,-120.46,21.28,43,1,2.1,US
383,labuhan,-6.88,112.21,26.28,82,36,1.51,ID
384,entre rios,-11.94,-38.08,29.51,63,63,2.41,BR
385,shwebo,22.57,95.7,30.48,21,3,2.46,MM
386,bardiyah,31.76,25.09,18.71,66,91,7.49,LY
387,kruisfontein,-34.0,24.73,15.2,85,19,0.43,ZA
388,guacimo,10.21,-83.68,25.73,61,75,5.7,CR
389,limbe,4.02,9.21,29.0,89,75,1.0,CM
390,chifeng,42.27,118.96,9.4,53,100,2.34,CN
391,wamba,8.93,8.6,33.15,18,16,1.55,NG
